Date,Bitcoin Core (BTC) Price,Blockchain Size,Fee Rate,Hash Rate,Inflation Rate,Miner Revenue,Price Volatility,Total Transactions,Transaction Fees,Money Supply,Avg. UTXO Amount
2009-01-10,0.0,4085,0,1.305020447805537e-05,0.0,950.0,242.02674953591674,19,0.0,950.0,50.0
2009-01-11,0.0,17214,0,1.988410785185185e-06,174.722,3050.0,176.56091542209313,80,0.0,4000.0,50.0
2009-01-12,0.0,37522,0,2.8666255486419757e-06,173.646,4650.0,170.9898288753584,174,0.0,8650.0,49.7126
2009-01-13,0.0,59280,0,3.3181604977777783e-06,172.767,4700.0,166.3779651483621,274,0.0,13350.0,49.0809
2009-01-14,0.0,85810,0,3.8774010311111125e-06,171.75900000000001,6150.0,166.3779651483621,397,0.0,19500.0,49.3671
2009-01-15,0.0,114086,0,4.299938322962964e-06,171.09,6450.0,131.30222192859634,527,0.0,25950.0,49.7126
2009-01-16,0.0,144146,0,4.580446273015874e-06,170.405,6300.0,131.30222192859634,661,0.0,32250.0,49.8454
2009-01-17,0.0,168000,0,5.212476844021164e-06,169.63,5400.0,112.61079019194138,771,0.0,37650.0,50.0
2009-01-18,0.0,191529,0,5.553347264338625e-06,168.55900000000003,5450.0,112.61079019194142,880,0.0,43100.0,50.0
2009-01-19,0.0,215063,0,5.652767803597884e-06,167.665,5350.0,94.1948705489508,988,0.0,48450.0,50.1034
2009-01-20,0.0,241845,0,5.801898612486775e-06,166.986,5750.0,94.1948705489508,1105,0.0,54200.0,50.7491
2009-01-21,0.0,267465,0,5.737985408677248e-06,166.26,5700.0,94.1948705489508,1220,0.0,59900.0,50.9787
2009-01-22,0.0,290983,0,5.546245797248677e-06,165.27200000000002,5100.0,94.19487054895092,1324,0.0,65000.0,51.3023
2009-01-23,0.0,311044,0,5.297694449100529e-06,164.49200000000002,4550.0,94.19487054895092,1416,0.0,69550.0,51.2906
2009-01-24,0.0,329874,0,5.127259238941799e-06,163.776,4200.0,109.37621069778895,1501,0.0,73750.0,51.3937
2009-01-25,0.0,374507,0,5.780594211216932e-06,162.843,10050.0,109.37621069778895,1703,0.0,83800.0,51.5058
2009-01-26,0.0,415954,0,6.3771174467724876e-06,161.914,9550.0,109.37621069778895,1895,0.0,93350.0,51.3476
2009-01-27,0.0,438990,0,6.242189572063493e-06,160.755,4800.0,109.37621069778895,1992,0.0,98150.0,51.7942
2009-01-28,0.0,460360,0,6.121464631534393e-06,159.71200000000002,4850.0,109.37621069778895,2090,0.0,103000.0,51.7588
2009-01-29,0.0,484512,0,6.192479302433861e-06,159.239,5600.0,109.37621069778895,2202,0.0,108600.0,51.6651
2009-01-30,0.0,512010,0,6.405523315132274e-06,158.787,6050.0,109.37621069778895,2324,0.0,114650.0,51.8309
2009-01-31,0.0,537264,0,6.6398717291005276e-06,158.273,5850.0,109.37621069778895,2441,0.0,120500.0,51.7389
2009-02-01,0.0,569348,0,6.192479302433862e-06,157.881,6900.0,109.37621069778895,2580,0.0,127400.0,52.0425
2009-02-02,0.0,594004,0,5.6385648694179905e-06,157.514,5650.0,94.19487054895096,2694,0.0,133050.0,51.9727
2009-02-03,0.0,621793,0,5.865811816296296e-06,156.7,6400.0,94.19487054895096,2823,0.0,139450.0,51.8787
2009-02-04,0.0,656329,8584,6.164073434074074e-06,155.89,6952.01,94.19487054895096,2978,2.01,146400.0,51.5675
2009-02-05,0.0,682003,0,6.213783703703704e-06,155.38299999999998,5950.0,94.194870548951,3097,0.0,152350.0,51.5044
2009-02-06,0.0,709188,0,6.249291039153438e-06,154.72899999999998,6300.0,94.194870548951,3223,0.0,158650.0,51.4429
2009-02-07,0.0,735518,0,6.284798374603174e-06,154.24200000000002,6100.0,94.194870548951,3345,0.0,164750.0,51.388000000000005
2009-02-08,0.0,766520,0,6.22088517079365e-06,153.85,6450.0,94.194870548951,3478,0.0,171200.0,51.6285
2009-02-09,0.0,795240,0,6.3558130455026454e-06,153.44299999999998,6600.0,94.194870548951,3611,0.0,177800.0,51.5661
2009-02-10,0.0,829222,0,6.398421848042328e-06,153.205,6700.0,94.194870548951,3746,0.0,184500.0,52.1334
2009-02-11,0.0,855102,0,6.263493973333333e-06,152.796,6000.0,94.194870548951,3866,0.0,190500.0,52.0634
2009-02-12,0.0,885577,0,6.3629145125925925e-06,152.239,6650.0,94.194870548951,4001,0.0,197150.0,52.1561
2009-02-13,0.0,911265,0,6.313204242962962e-06,151.737,5950.0,94.19487054895102,4120,0.0,203100.0,52.0903
2009-02-14,0.0,938034,0,6.327407177142857e-06,151.349,6200.0,94.19487054895102,4244,0.0,209300.0,52.0259
2009-02-15,0.0,967381,0,6.3771174467724876e-06,150.808,6800.0,94.19487054895102,4380,0.0,216100.0,51.9596
2009-02-16,0.0,996745,0,6.3487115784126975e-06,150.374,6400.0,94.19487054895102,4511,0.0,222500.0,52.0224
2009-02-17,0.0,1026532,0,6.263493973333333e-06,149.877,6100.0,94.19487054895106,4634,0.0,228600.0,52.3112
2009-02-18,0.0,1051795,0,6.242189572063493e-06,149.43200000000002,5850.0,94.19487054895106,4751,0.0,234450.0,52.2509
2009-02-19,0.0,1077276,0,6.1356675657142855e-06,148.987,5900.0,94.19487054895106,4869,0.0,240350.0,52.1933
2009-02-20,0.0,1105926,0,6.17117490116402e-06,148.534,6200.0,94.19487054895106,4994,0.0,246550.0,52.3017
2009-02-21,0.0,1132260,0,6.156971966984128e-06,147.969,6100.0,77.3406602848952,5116,0.0,252650.0,52.2436
2009-02-22,0.0,1156879,0,6.000739691005291e-06,147.187,5700.0,77.3406602848952,5230,0.0,258350.0,52.1919
2009-02-23,0.0,1184534,0,5.951029421375662e-06,146.507,6050.0,53.76891206292032,5355,0.0,264400.0,52.2117
2009-02-24,0.0,1207861,0,5.8516088821164025e-06,145.877,5400.0,0.0,5463,0.0,269800.0,52.1655
2009-02-25,0.0,1230749,0,5.773492744126986e-06,145.043,5300.0,0.0,5569,0.0,275100.0,52.122
2009-02-26,0.0,1253416,0,5.681173671957672e-06,144.485,5250.0,0.0,5674,0.0,280350.0,52.0806
2009-02-27,0.0,1276523,0,5.560448731428572e-06,143.83700000000002,5350.0,0.0,5781,0.0,285700.0,52.0401
2009-02-28,0.0,1305481,0,5.510738461798942e-06,143.188,5750.0,0.0,5897,0.0,291450.0,52.325
2009-03-01,0.0,1327708,0,5.404216455449737e-06,142.567,4950.0,0.0,5997,0.0,296400.0,52.3397
2009-03-02,0.0,1350384,0,5.290592982010584e-06,141.921,5250.0,0.0,6102,0.0,301650.0,52.2972
2009-03-03,0.0,1373708,0,5.290592982010582e-06,141.286,5400.0,53.76891206292026,6210,0.0,307050.0,52.2549
2009-03-04,0.0,1397378,0,5.283491514920635e-06,140.546,5250.0,101.24411897881758,6317,0.0,312300.0,52.2678
2009-03-05,0.0,1422828,0,5.276390047830689e-06,139.829,5200.0,101.24411897881758,6423,0.0,317500.0,52.4187
2009-03-06,0.0,1447960,0,5.311897383280423e-06,139.412,5600.0,106.03074240823791,6536,0.0,323100.0,52.4343
2009-03-07,0.0,1473225,0,5.326100317460317e-06,139.006,5850.0,106.03074240823791,6653,0.0,328950.0,52.3889
2009-03-08,0.0,1496766,0,5.3971149883597875e-06,138.586,5450.0,114.2134868088158,6762,0.0,334400.0,52.3482
2009-03-09,0.0,1524779,0,5.468129659259259e-06,138.11,5750.0,131.38251388009522,6880,0.0,340150.0,52.4923
2009-03-10,0.0,1548076,0,5.468129659259259e-06,137.731,5400.0,137.3001569066072,6988,0.0,345550.0,52.4514
2009-03-11,0.0,1571185,0,5.482332593439154e-06,137.357,5350.0,139.81428635290334,7095,0.0,350900.0,52.4122
2009-03-12,0.0,1595795,0,5.553347264338625e-06,136.733,5700.0,145.38914265342243,7209,0.0,356600.0,52.3719
2009-03-13,0.0,1621701,0,5.595956066878306e-06,136.154,5900.0,145.38914265342237,7328,0.0,362500.0,52.3466
2009-03-14,0.0,1647622,0,5.567550198518518e-06,135.591,5650.0,145.38914265342237,7442,0.0,368150.0,52.3982
2009-03-15,0.0,1671358,0,5.574651665608467e-06,134.68,5500.0,145.38914265342237,7552,0.0,373650.0,52.3613
2009-03-16,0.0,1697923,0,5.6314634023280425e-06,133.984,6150.0,145.38914265342237,7675,0.0,379800.0,52.3213
2009-03-17,0.0,1729566,0,5.723782474497355e-06,133.366,6050.0,147.76570773792508,7797,0.0,385850.0,52.6183
2009-03-18,0.0,1754185,0,5.773492744126984e-06,132.81799999999998,5700.0,147.76570773792508,7911,0.0,391550.0,52.5782
2009-03-19,0.0,1780486,0,5.773492744126984e-06,132.376,5700.0,147.76570773792508,8027,0.0,397250.0,52.6229
2009-03-20,0.0,1806812,0,5.801898612486772e-06,131.707,6100.0,149.3763811661912,8149,0.0,403350.0,52.5811
2009-03-21,0.0,1833700,0,5.8374059479365075e-06,131.059,5900.0,155.90974683710448,8268,0.0,409250.0,52.6164
2009-03-22,0.0,1844492,0,5.4113179225396826e-06,130.404,2500.0,159.77452845320974,8318,0.0,411750.0,52.5996
2009-03-23,0.0,1871522,0,5.382912054179893e-06,129.662,5950.0,166.45330772259237,8439,0.0,417700.0,52.6203
2009-03-24,0.0,1899592,0,5.446825257989418e-06,128.922,6500.0,169.0718802987239,8569,0.0,424200.0,52.5781
2009-03-25,0.0,1922270,0,5.382912054179893e-06,128.31799999999998,5250.0,168.64922136442297,8674,0.0,429450.0,52.545
2009-03-26,0.0,1947517,0,5.404216455449736e-06,127.639,5850.0,168.1266221171783,8791,0.0,435300.0,52.50899999999999
2009-03-27,0.0,1976019,0,5.36870912e-06,127.23,5850.0,170.60142610640057,8909,0.0,441150.0,52.6432
2009-03-28,0.0,1998910,0,5.283491514920635e-06,126.917,5300.0,170.0848252703456,9015,0.0,446450.0,52.6102
2009-03-29,0.0,2027022,0,5.773492744126984e-06,126.522,5950.0,172.5315429486712,9137,0.0,452400.0,52.6782
2009-03-30,0.0,2052074,0,5.752188342857142e-06,126.15299999999999,5800.0,172.5315429486712,9253,0.0,458200.0,52.6425
2009-03-31,0.0,2077976,0,5.681173671957671e-06,125.81700000000001,6000.0,175.96627040789573,9373,0.0,464200.0,52.6065
2009-04-01,0.0,2105423,0,5.716681007407408e-06,125.421,5500.0,177.64764349459136,9484,0.0,469700.0,52.7575
2009-04-02,0.0,2130029,0,5.695376606137565e-06,125.005,5700.0,196.29823224032452,9598,0.0,475400.0,52.7226
2009-04-03,0.0,2154858,0,5.681173671957672e-06,124.695,5750.0,182.83981212629644,9713,0.0,481150.0,52.6883
2009-04-04,0.0,2179906,0,5.752188342857142e-06,124.465,5800.0,205.01570304880929,9829,0.0,486950.0,52.6546
2009-04-05,0.0,2204287,0,5.70957954031746e-06,124.055,5650.0,214.04190396960476,9942,0.0,492600.0,52.6226
2009-04-06,0.0,2234389,0,5.809000079576719e-06,123.745,6500.0,217.65626173832396,10074,0.0,499100.0,52.6699
2009-04-07,0.0,2257931,0,5.730883941587301e-06,123.45299999999999,5450.0,212.6815885350449,10183,0.0,504550.0,52.6395
2009-04-08,0.0,2279530,0,5.659869270687831e-06,123.255,5000.0,213.1030356951459,10283,0.0,509550.0,52.6123
2009-04-09,0.0,2302210,0,5.595956066878306e-06,123.056,5250.0,208.25746143736703,10388,0.0,514800.0,52.5843
2009-04-10,0.0,2323568,0,5.482332593439154e-06,122.84899999999999,4950.0,207.3960964665581,10487,0.0,519750.0,52.5584
2009-04-11,0.0,2346889,0,5.425520856719577e-06,122.71,5400.0,203.86174190023,10595,0.0,525150.0,52.5308
2009-04-12,0.0,2373690,0,5.475231126349208e-06,122.476,6000.0,210.30715070330933,10716,0.0,531150.0,52.5319
2009-04-13,0.0,2400206,0,5.390013521269841e-06,122.29700000000001,5900.0,210.07611357360355,10836,0.0,537050.0,52.5335
2009-04-14,0.0,2425272,0,5.432622323809524e-06,122.214,5750.0,210.3827389517413,10952,0.0,542800.0,52.5002
2009-04-15,0.0,2452049,0,5.603057533968253e-06,122.1,6200.0,210.04456505150813,11076,0.0,549000.0,52.4706
2009-04-16,0.0,2476429,0,5.659869270687831e-06,121.936,5650.0,209.19055880442286,11189,0.0,554650.0,52.4442
2009-04-17,0.0,2502983,0,5.830304480846561e-06,121.729,6150.0,209.19055880442286,11312,0.0,560800.0,52.4161
2009-04-18,0.0,2527160,0,5.858710349206349e-06,121.61200000000001,5600.0,209.19055880442292,11424,0.0,566400.0,52.3911
2009-04-19,0.0,2555137,0,5.901319151746031e-06,121.684,6300.0,208.46621392734443,11554,0.0,572700.0,52.3587
2009-04-20,0.0,2581793,0,5.908420618835978e-06,121.62899999999999,5950.0,203.6261683593211,11674,0.0,578650.0,52.3665
2009-04-21,0.0,2620710,0,5.936826487195767e-06,121.505,5950.0,199.80299386496662,11795,0.0,584600.0,52.8763
2009-04-22,0.0,2647492,0,5.92972502010582e-06,121.301,6150.0,192.0605564432088,11919,0.0,590750.0,52.8399
2009-04-23,0.0,2673624,0,5.986536756825396e-06,121.16799999999999,6050.0,190.60731452072847,12040,0.0,596800.0,52.8095
2009-04-24,0.0,2689798,0,5.6456663365079376e-06,120.678,3750.0,190.13521800613603,12115,0.0,600550.0,52.791000000000004
2009-04-25,0.0,2714628,0,5.6669707377777805e-06,120.382,5750.0,198.24836988898238,12230,0.0,606300.0,52.763000000000005
2009-04-26,0.0,2740101,0,5.610159001058201e-06,120.015,5900.0,203.25577250418317,12348,0.0,612200.0,52.7349
2009-04-27,0.0,2766091,0,5.560448731428572e-06,119.64399999999999,5600.0,203.12079708675358,12462,0.0,617800.0,52.7673
2009-04-28,0.0,2788542,0,5.453926725079365e-06,119.42399999999999,5200.0,206.65383033062,12566,0.0,623000.0,52.743
2009-04-29,0.0,2813773,0,5.4113179225396826e-06,119.14299999999999,5850.0,206.65383033062,12683,0.0,628850.0,52.7161
2009-04-30,0.0,2843737,0,5.461028192169311e-06,118.83,6400.0,205.84810683923874,12812,0.0,635250.0,52.7704
2009-05-01,0.0,2872025,0,5.858710349206349e-06,118.616,6550.0,203.1037108124668,12943,0.0,641800.0,52.7406
2009-05-02,0.0,2898148,0,5.901319151746031e-06,118.06700000000001,6050.0,168.4603043927925,13064,0.0,647850.0,52.7136
2009-05-03,0.0,2927301,157,5.958130888465607e-06,117.646,6300.03,172.3174120306237,13192,0.03,654150.0,52.7328
2009-05-04,0.0,2951011,0,5.915522085925925e-06,117.4,5300.0,158.69431199186192,13301,0.0,659450.0,52.7054
2009-05-05,0.0,2982109,0,6.085957296084657e-06,117.137,6400.0,156.40390792256466,13430,0.0,665850.0,52.7991
2009-05-06,0.0,3012441,0,6.213783703703704e-06,116.89399999999999,6750.0,154.4201764992913,13566,0.0,672600.0,52.8068
2009-05-07,0.0,3041598,0,6.263493973333333e-06,116.67299999999999,6750.0,158.19935818279006,13701,0.0,679350.0,52.7773
2009-05-08,0.0,3067950,0,6.199580769523809e-06,116.43799999999999,6100.0,139.90113956933644,13823,0.0,685450.0,52.7513
2009-05-09,0.0,3091051,0,6.10016023026455e-06,116.322,5350.0,139.0604916144575,13930,0.0,690800.0,52.7288
2009-05-10,0.0,3107860,0,5.7592898099470886e-06,116.17200000000001,3900.0,142.9511368194919,14008,0.0,694700.0,52.7126
2009-05-11,0.0,3126203,0,5.610159001058201e-06,115.984,4250.0,142.5133413078739,14093,0.0,698950.0,52.6953
2009-05-12,0.0,3152466,600,5.553347264338626e-06,115.807,6000.1,137.20400667168212,14214,0.1,704950.0,52.6711
2009-05-13,0.0,3180536,0,5.517839928888888e-06,115.515,6500.0,136.4631445713771,14344,0.0,711450.0,52.6454
2009-05-14,0.0,3205596,0,5.347404718730159e-06,115.22,5550.0,133.6108497953847,14460,0.0,717000.0,52.6161
2009-05-15,0.0,3236324,0,5.468129659259259e-06,115.01700000000001,6950.0,133.49266164505076,14602,0.0,723950.0,52.5897
2009-05-16,0.0,3266873,0,5.674072204867725e-06,114.789,6800.0,140.2159035090423,14739,0.0,730750.0,52.5984
2009-05-17,0.0,3292572,0,5.965232355555557e-06,114.726,5950.0,142.68022475137224,14858,0.0,736700.0,52.5764
2009-05-18,0.0,3319999,0,6.263493973333333e-06,114.50200000000001,6350.0,142.68022475137218,14985,0.0,743050.0,52.5532
2009-05-19,0.0,3345477,0,6.249291039153438e-06,114.30799999999999,5900.0,142.68022475137218,15103,0.0,748950.0,52.5321
2009-05-20,0.0,3364044,0,5.936826487195767e-06,114.06700000000001,4300.0,142.68022475137218,15189,0.0,753250.0,52.5169
2009-05-21,0.0,3389931,0,6.000739691005291e-06,114.02600000000001,6000.0,142.68022475137218,15309,0.0,759250.0,52.496
